time,value
1545243989,1502
1545244001,1717
1545244012,1073
1545244023,689
1545244036,827
1545244048,2156
1545244059,2107
1545244071,2238
1545244082,1956
1545244093,1810
1545244104,1531
1545244115,1727
1545244127,1466
1545244138,2415
1545244149,1335
1545244160,2378
1545244172,1974
1545244183,2062
1545244194,1356
1545244206,1987
1545244217,2231
1545244228,1004
1545244240,1590
1545244252,1919
1545244263,1588
1545244275,2356
1545244286,1670
1545244298,1795
1545244310,1276
1545244321,852
1545244333,846
1545244344,2518
1545244355,1999
1545244366,1955
1545244378,1868
1545244390,1916
1545244401,1880
1545244412,1817
1545244424,1895
1545244436,1652
1545244447,1721
1545244458,1917
1545244470,1901
1545244481,1955
1545244493,1865
1545244504,1534
1545244516,1887
1545244528,2265
