1544890733, 0:24.99
1544890758, 0:22.81
1544890783, 0:24.91
1544890808, 0:25.39
1544890834, 0:16.99
1544890859, 0:19.88
1544890885, 0:26.02
1544890911, 0:25.64
1544890937, 0:25.61
1544890963, 0:27.05
1544890990, 0:26.08
1544891021, 0:25.92
1544891048, 0:26.17
1544891074, 0:24.06
1544891100, 0:26.26
1544891126, 0:25.82
1544891152, 0:26.07
1544891178, 0:26.20
1544891205, 0:25.86
1544891231, 0:15.20
1544891259, 0:26.81
1544891286, 0:20.85
1544891313, 0:24.71
1544891338, 0:20.03
1544891364, 0:21.76
1544891390, 0:17.16
1544891416, 0:25.22
1544891441, 0:25.60
1544891467, 0:25.77
1544891493, 0:25.82
1544891519, 0:16.59
1544891544, 0:16.27
1544891568, 0:24.83
1544891593, 0:25.07
1544891619, 0:16.84
1544891644, 0:24.98
1544891669, 0:24.45
1544891693, 0:25.11
1544891719, 0:24.65
1544891744, 0:08.26
1544891769, 0:24.69
1544891793, 0:20.64
1544891818, 0:16.36
1544891843, 0:20.80
1544891867, 0:24.52
1544891892, 0:24.12
1544891917, 0:24.69
1544891943, 0:24.40
